年月日,曜,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
2016/4/1,金,,不燃,資源,他プラ,リプラ,リプラ,リプラ,リプラ,可燃,可燃,可燃,可燃,可燃,可燃,可燃,可燃
2016/4/2,土,,,,,,,,,,,,,,,,
2016/4/3,日,,,,,,,,,,,,,,,,
2016/4/4,月,可燃,可燃,可燃,可燃,可燃,可燃,可燃,可燃,リプラ,リプラ,不燃,不燃,,他プラ,他プラ,資源
2016/4/5,火,リプラ,リプラ,不燃,,他プラ,他プラ,資源,資源,可燃,可燃,可燃,可燃,可燃,可燃,可燃,可燃
2016/4/6,水,他プラ,他プラ,リプラ,リプラ,不燃,不燃,不燃,不燃,資源,資源,リプラ,リプラ,リプラ,,,
2016/4/7,木,可燃,可燃,可燃,可燃,可燃,可燃,可燃,可燃,不燃,,資源,資源,他プラ,リプラ,リプラ,リプラ
2016/4/8,金,不燃,,他プラ,資源,リプラ,リプラ,リプラ,リプラ,可燃,可燃,可燃,可燃,可燃,可燃,可燃,可燃
2016/4/9,土,,,,,,,,,,,,,,,,
2016/4/10,日,,,,,,,,,,,,,,,,
2016/4/11,月,可燃,可燃,可燃,可燃,可燃,可燃,可燃,可燃,リプラ,リプラ,,,不燃,資源,資源,他プラ
2016/4/12,火,リプラ,リプラ,,不燃,資源,資源,他プラ,他プラ,可燃,可燃,可燃,可燃,可燃,可燃,可燃,可燃
2016/4/13,水,資源,資源,リプラ,リプラ,,,,,他プラ,他プラ,リプラ,リプラ,リプラ,不燃,不燃,不燃
2016/4/14,木,可燃,可燃,可燃,可燃,可燃,可燃,可燃,可燃,,不燃,他プラ,他プラ,資源,リプラ,リプラ,リプラ
2016/4/15,金,,不燃,資源,他プラ,リプラ,リプラ,リプラ,リプラ,可燃,可燃,可燃,可燃,可燃,可燃,可燃,可燃
2016/4/16,土,,,,,,,,,,,,,,,,
2016/4/17,日,,,,,,,,,,,,,,,,
2016/4/18,月,可燃,可燃,可燃,可燃,可燃,可燃,可燃,可燃,リプラ,リプラ,不燃,不燃,,他プラ,他プラ,資源
2016/4/19,火,リプラ,リプラ,不燃,,他プラ,他プラ,資源,資源,可燃,可燃,可燃,可燃,可燃,可燃,可燃,可燃
2016/4/20,水,他プラ,他プラ,リプラ,リプラ,不燃,不燃,不燃,不燃,資源,資源,リプラ,リプラ,リプラ,,,
2016/4/21,木,可燃,可燃,可燃,可燃,可燃,可燃,可燃,可燃,不燃,,資源,資源,他プラ,リプラ,リプラ,リプラ
2016/4/22,金,不燃,,他プラ,資源,リプラ,リプラ,リプラ,リプラ,可燃,可燃,可燃,可燃,可燃,可燃,可燃,可燃
2016/4/23,土,,,,,,,,,,,,,,,,
2016/4/24,日,,,,,,,,,,,,,,,,
