年月日,曜,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
2017/4/1,土,,,,,,,,,,,,,,,,
2017/4/2,日,,,,,,,,,,,,,,,,
2017/4/3,月,可燃,可燃,可燃,可燃,可燃,可燃,可燃,可燃,リプラ,リプラ,不燃,不燃,,他プラ,他プラ,資源
2017/4/4,火,リプラ,リプラ,不燃,,他プラ,他プラ,資源,資源,可燃,可燃,可燃,可燃,可燃,可燃,可燃,可燃
2017/4/5,水,他プラ,他プラ,リプラ,リプラ,不燃,不燃,不燃,不燃,資源,資源,リプラ,リプラ,リプラ,,,
2017/4/6,木,可燃,可燃,可燃,可燃,可燃,可燃,可燃,可燃,不燃,,資源,資源,他プラ,リプラ,リプラ,リプラ
2017/4/7,金,,不燃,資源,他プラ,リプラ,リプラ,リプラ,リプラ,可燃,可燃,可燃,可燃,可燃,可燃,可燃,可燃
2017/4/8,土,,,,,,,,,,,,,,,,
2017/4/9,日,,,,,,,,,,,,,,,,
2017/4/10,月,可燃,可燃,可燃,可燃,可燃,可燃,可燃,可燃,リプラ,リプラ,,,不燃,資源,資源,他プラ
2017/4/11,火,リプラ,リプラ,,不燃,資源,資源,他プラ,他プラ,可燃,可燃,可燃,可燃,可燃,可燃,可燃,可燃
2017/4/12,水,資源,資源,リプラ,リプラ,,,,,他プラ,他プラ,リプラ,リプラ,リプラ,不燃,不燃,不燃
2017/4/13,木,可燃,可燃,可燃,可燃,可燃,可燃,可燃,可燃,,不燃,他プラ,他プラ,資源,リプラ,リプラ,リプラ
2017/4/14,金,不燃,,他プラ,資源,リプラ,リプラ,リプラ,リプラ,可燃,可燃,可燃,可燃,可燃,可燃,可燃,可燃
2017/4/15,土,,,,,,,,,,,,,,,,
2017/4/16,日,,,,,,,,,,,,,,,,
2017/4/17,月,可燃,可燃,可燃,可燃,可燃,可燃,可燃,可燃,リプラ,リプラ,不燃,不燃,,他プラ,他プラ,資源
2017/4/18,火,リプラ,リプラ,不燃,,他プラ,他プラ,資源,資源,可燃,可燃,可燃,可燃,可燃,可燃,可燃,可燃
2017/4/19,水,他プラ,他プラ,リプラ,リプラ,不燃,不燃,不燃,不燃,資源,資源,リプラ,リプラ,リプラ,,,
2017/4/20,木,可燃,可燃,可燃,可燃,可燃,可燃,可燃,可燃,不燃,,資源,資源,他プラ,リプラ,リプラ,リプラ
2017/4/21,金,,不燃,資源,他プラ,リプラ,リプラ,リプラ,リプラ,可燃,可燃,可燃,可燃,可燃,可燃,可燃,可燃
2017/4/22,土,,,,,,,,,,,,,,,,
2017/4/23,日,,,,,,,,,,,,,,,,
2017/4/24,月,可燃,可燃,可燃,可燃,可燃,可燃,可燃,可燃,リプラ,リプラ,,,不燃,資源,資源,他プラ
2017/4/25,火,リプラ,リプラ,,不燃,資源,資源,他プラ,他プラ,可燃,可燃,可燃,可燃,可燃,可燃,可燃,可燃
2017/4/26,水,資源,資源,リプラ,リプラ,,,,,他プラ,他プラ,リプラ,リプラ,リプラ,不燃,不燃,不燃
2017/4/27,木,可燃,可燃,可燃,可燃,可燃,可燃,可燃,可燃,,不燃,他プラ,他プラ,資源,リプラ,リプラ,リプラ
2017/4/28,金,不燃,,他プラ,資源,リプラ,リプラ,リプラ,リプラ,可燃,可燃,可燃,可燃,可燃,可燃,可燃,可燃
2017/4/29,土,,,,,,,,,,,,,,,,
2017/4/30,日,,,,,,,,,,,,,,,,
2017/5/1,月,可燃,可燃,可燃,可燃,可燃,可燃,可燃,可燃,リプラ,リプラ,不燃,不燃,,他プラ,他プラ,資源
2017/5/2,火,リプラ,リプラ,不燃,,他プラ,他プラ,資源,資源,可燃,可燃,可燃,可燃,可燃,可燃,可燃,可燃
2017/5/3,水,他プラ,他プラ,,,不燃,不燃,不燃,不燃,資源,資源,,,,,,
2017/5/4,木,,,,,,,,,不燃,,資源,資源,他プラ,,,
2017/5/5,金,,不燃,資源,他プラ,,,,,,,,,,,,
2017/5/6,土,,,,,,,,,,,,,,,,
2017/5/7,日,,,,,,,,,,,,,,,,
2017/5/8,月,可燃,可燃,可燃,可燃,可燃,可燃,可燃,可燃,リプラ,リプラ,,,不燃,資源,資源,他プラ
2017/5/9,火,リプラ,リプラ,,不燃,資源,資源,他プラ,他プラ,可燃,可燃,可燃,可燃,可燃,可燃,可燃,可燃
2017/5/10,水,資源,資源,リプラ,リプラ,,,,,他プラ,他プラ,リプラ,リプラ,リプラ,不燃,不燃,不燃
2017/5/11,木,可燃,可燃,可燃,可燃,可燃,可燃,可燃,可燃,,不燃,他プラ,他プラ,資源,リプラ,リプラ,リプラ
2017/5/12,金,不燃,,他プラ,資源,リプラ,リプラ,リプラ,リプラ,可燃,可燃,可燃,可燃,可燃,可燃,可燃,可燃
2017/5/13,土,,,,,,,,,,,,,,,,
2017/5/14,日,,,,,,,,,,,,,,,,
2017/5/15,月,可燃,可燃,可燃,可燃,可燃,可燃,可燃,可燃,リプラ,リプラ,不燃,不燃,,他プラ,他プラ,資源
2017/5/16,火,リプラ,リプラ,不燃,,他プラ,他プラ,資源,資源,可燃,可燃,可燃,可燃,可燃,可燃,可燃,可燃
2017/5/17,水,他プラ,他プラ,リプラ,リプラ,不燃,不燃,不燃,不燃,資源,資源,リプラ,リプラ,リプラ,,,
2017/5/18,木,可燃,可燃,可燃,可燃,可燃,可燃,可燃,可燃,不燃,,資源,資源,他プラ,リプラ,リプラ,リプラ
2017/5/19,金,,不燃,資源,他プラ,リプラ,リプラ,リプラ,リプラ,可燃,可燃,可燃,可燃,可燃,可燃,可燃,可燃
2017/5/20,土,,,,,,,,,,,,,,,,
2017/5/21,日,,,,,,,,,,,,,,,,
2017/5/22,月,可燃,可燃,可燃,可燃,可燃,可燃,可燃,可燃,リプラ,リプラ,,,不燃,資源,資源,他プラ
2017/5/23,火,リプラ,リプラ,,不燃,資源,資源,他プラ,他プラ,可燃,可燃,可燃,可燃,可燃,可燃,可燃,可燃
2017/5/24,水,資源,資源,リプラ,リプラ,,,,,他プラ,他プラ,リプラ,リプラ,リプラ,不燃,不燃,不燃
2017/5/25,木,可燃,可燃,可燃,可燃,可燃,可燃,可燃,可燃,,不燃,他プラ,他プラ,資源,リプラ,リプラ,リプラ
2017/5/26,金,不燃,,他プラ,資源,リプラ,リプラ,リプラ,リプラ,可燃,可燃,可燃,可燃,可燃,可燃,可燃,可燃
2017/5/27,土,,,,,,,,,,,,,,,,
2017/5/28,日,,,,,,,,,,,,,,,,
2017/5/29,月,可燃,可燃,可燃,可燃,可燃,可燃,可燃,可燃,リプラ,リプラ,,,,,,
2017/5/30,火,リプラ,リプラ,,,,,,,可燃,可燃,可燃,可燃,可燃,可燃,可燃,可燃
2017/5/31,水,,,リプラ,リプラ,,,,,,,リプラ,リプラ,リプラ,,,
