"年月日","曜","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16"
#2023-04-01#,"土",,,,,,,,,,,,,,,,
#2023-04-02#,"日",,,,,,,,,,,,,,,,
#2023-04-03#,"月","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","資源","資源","不燃",,"リプラ","リプラ","他プラ",
#2023-04-04#,"火","リプラ","リプラ","資源","資源","不燃",,"他プラ",,"可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃"
#2023-04-05#,"水","資源","不燃","リプラ","不燃","資源","リプラ",,"他プラ","リプラ","リプラ","リプラ","リプラ","他プラ","資源",,"他プラ"
#2023-04-06#,"木","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃",,"不燃","資源","他プラ","不燃",,"リプラ","リプラ"
#2023-04-07#,"金","不燃","資源",,"リプラ","リプラ","他プラ","リプラ","リプラ","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃"
#2023-04-08#,"土",,,,,,,,,,,,,,,,
#2023-04-09#,"日",,,,,,,,,,,,,,,,
#2023-04-10#,"月","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","他プラ","他プラ",,"不燃","リプラ","リプラ","資源","不燃"
#2023-04-11#,"火","リプラ","リプラ","他プラ","他プラ",,"不燃","資源","不燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃"
#2023-04-12#,"水","他プラ",,"リプラ",,"他プラ","リプラ","不燃","資源","リプラ","リプラ","リプラ","リプラ","資源","他プラ","不燃","資源"
#2023-04-13#,"木","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","不燃",,"他プラ","資源",,"不燃","リプラ","リプラ"
#2023-04-14#,"金",,"他プラ","不燃","リプラ","リプラ","資源","リプラ","リプラ","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃"
#2023-04-15#,"土",,,,,,,,,,,,,,,,
#2023-04-16#,"日",,,,,,,,,,,,,,,,
#2023-04-17#,"月","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","資源","資源","不燃",,"リプラ","リプラ","他プラ",
#2023-04-18#,"火","リプラ","リプラ","資源","資源","不燃",,"他プラ",,"可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃"
#2023-04-19#,"水","資源","不燃","リプラ","不燃","資源","リプラ",,"他プラ","リプラ","リプラ","リプラ","リプラ","他プラ","資源",,"他プラ"
#2023-04-20#,"木","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃",,"不燃","資源","他プラ","不燃",,"リプラ","リプラ"
#2023-04-21#,"金","不燃","資源",,"リプラ","リプラ","他プラ","リプラ","リプラ","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃"
#2023-04-22#,"土",,,,,,,,,,,,,,,,
#2023-04-23#,"日",,,,,,,,,,,,,,,,
#2023-04-24#,"月","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","他プラ","他プラ",,"不燃","リプラ","リプラ","資源","不燃"
#2023-04-25#,"火","リプラ","リプラ","他プラ","他プラ",,"不燃","資源","不燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃"
#2023-04-26#,"水","他プラ",,"リプラ",,"他プラ","リプラ","不燃","資源","リプラ","リプラ","リプラ","リプラ","資源","他プラ","不燃","資源"
#2023-04-27#,"木","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","不燃",,"他プラ","資源",,"不燃","リプラ","リプラ"
#2023-04-28#,"金",,"他プラ","不燃","リプラ","リプラ","資源","リプラ","リプラ","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃"
#2023-04-29#,"土",,,,,,,,,,,,,,,,
#2023-04-30#,"日",,,,,,,,,,,,,,,,
#2023-05-01#,"月","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","資源","資源","不燃",,"リプラ","リプラ","他プラ",
#2023-05-02#,"火","リプラ","リプラ","資源","資源","不燃",,"他プラ",,"可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃"
