"年月日","曜","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23"
#2024-04-01#,"月","可燃","可燃","可燃","不燃",,"資源","他プラ","資源","他プラ","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃",,"他プラ","他プラ"
#2024-04-02#,"火",,"他プラ",,"可燃","可燃","可燃","可燃","可燃","可燃","資源","資源","不燃","不燃","資源","他プラ","リプラ",,"他プラ","他プラ",,"可燃","可燃","可燃"
#2024-04-03#,"水","資源",,"他プラ","リプラ","リプラ","リプラ","リプラ","不燃","不燃","リプラ","リプラ","リプラ","リプラ",,,,"リプラ","リプラ",,"他プラ","リプラ","リプラ",
#2024-04-04#,"木","可燃","可燃","可燃","資源","他プラ","不燃",,"リプラ","リプラ","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","他プラ",,"リプラ"
#2024-04-05#,"金","リプラ","リプラ","リプラ","可燃","可燃","可燃","可燃","可燃","可燃","不燃",,"資源","他プラ","リプラ","リプラ","他プラ","他プラ",,"リプラ","リプラ","可燃","可燃","可燃"
#2024-04-06#,"土",,,,,,,,,,,,,,,,,,,,,,,
#2024-04-07#,"日",,,,,,,,,,,,,,,,,,,,,,,
#2024-04-08#,"月","可燃","可燃","可燃",,"不燃","他プラ","資源","他プラ","資源","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","不燃","資源","資源"
#2024-04-09#,"火","不燃","資源","不燃","可燃","可燃","可燃","可燃","可燃","可燃","他プラ","他プラ",,,"他プラ","資源","リプラ","不燃","資源","資源","不燃","可燃","可燃","可燃"
#2024-04-10#,"水","他プラ","不燃","資源","リプラ","リプラ","リプラ","リプラ",,,"リプラ","リプラ","リプラ","リプラ","不燃","不燃","不燃","リプラ","リプラ","不燃","資源","リプラ","リプラ","不燃"
#2024-04-11#,"木","可燃","可燃","可燃","他プラ","資源",,"不燃","リプラ","リプラ","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","資源","不燃","リプラ"
#2024-04-12#,"金","リプラ","リプラ","リプラ","可燃","可燃","可燃","可燃","可燃","可燃",,"不燃","他プラ","資源","リプラ","リプラ","資源","資源","不燃","リプラ","リプラ","可燃","可燃","可燃"
#2024-04-13#,"土",,,,,,,,,,,,,,,,,,,,,,,
#2024-04-14#,"日",,,,,,,,,,,,,,,,,,,,,,,
#2024-04-15#,"月","可燃","可燃","可燃","不燃",,"資源","他プラ","資源","他プラ","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃",,"他プラ","他プラ"
#2024-04-16#,"火",,"他プラ",,"可燃","可燃","可燃","可燃","可燃","可燃","資源","資源","不燃","不燃","資源","他プラ","リプラ",,"他プラ","他プラ",,"可燃","可燃","可燃"
#2024-04-17#,"水","資源",,"他プラ","リプラ","リプラ","リプラ","リプラ","不燃","不燃","リプラ","リプラ","リプラ","リプラ",,,,"リプラ","リプラ",,"他プラ","リプラ","リプラ",
#2024-04-18#,"木","可燃","可燃","可燃","資源","他プラ","不燃",,"リプラ","リプラ","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","他プラ",,"リプラ"
#2024-04-19#,"金","リプラ","リプラ","リプラ","可燃","可燃","可燃","可燃","可燃","可燃","不燃",,"資源","他プラ","リプラ","リプラ","他プラ","他プラ",,"リプラ","リプラ","可燃","可燃","可燃"
#2024-04-20#,"土",,,,,,,,,,,,,,,,,,,,,,,
#2024-04-21#,"日",,,,,,,,,,,,,,,,,,,,,,,
#2024-04-22#,"月","可燃","可燃","可燃",,"不燃","他プラ","資源","他プラ","資源","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","不燃","資源","資源"
#2024-04-23#,"火","不燃","資源","不燃","可燃","可燃","可燃","可燃","可燃","可燃","他プラ","他プラ",,,"他プラ","資源","リプラ","不燃","資源","資源","不燃","可燃","可燃","可燃"
#2024-04-24#,"水","他プラ","不燃","資源","リプラ","リプラ","リプラ","リプラ",,,"リプラ","リプラ","リプラ","リプラ","不燃","不燃","不燃","リプラ","リプラ","不燃","資源","リプラ","リプラ","不燃"
#2024-04-25#,"木","可燃","可燃","可燃","他プラ","資源",,"不燃","リプラ","リプラ","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","資源","不燃","リプラ"
#2024-04-26#,"金","リプラ","リプラ","リプラ","可燃","可燃","可燃","可燃","可燃","可燃",,"不燃","他プラ","資源","リプラ","リプラ","資源","資源","不燃","リプラ","リプラ","可燃","可燃","可燃"
#2024-04-27#,"土",,,,,,,,,,,,,,,,,,,,,,,
#2024-04-28#,"日",,,,,,,,,,,,,,,,,,,,,,,
#2024-04-29#,"月","可燃","可燃","可燃",,,,,,,"可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃",,,
#2024-04-30#,"火",,,,"可燃","可燃","可燃","可燃","可燃","可燃",,,,,,,"リプラ",,,,,"可燃","可燃","可燃"
#2024-05-01#,"水","資源",,"他プラ","リプラ","リプラ","リプラ","リプラ","不燃","不燃","リプラ","リプラ","リプラ","リプラ",,,,"リプラ","リプラ",,"他プラ","リプラ","リプラ",
